===== TILESET outdoor
  ID |  ID | BASE |  SOUND | SOLID | PATH | SHORE |  BOAT | FLY | OPAQUE |  FOREST | TM | BATTLE EXPANSION           | BATTLE EXPANSION                   
  AC | 172 |      |     82 |       |      |       |       |     |        |         | 03 | 9C 9B 9E 9E 9D 9B 9B 9C 9D | 156 155 158 158 157 155 155 156 157
  AD | 173 |      |     82 |       |      |       |       |     |        |         | 03 | 9C 9B 9E 9E 9D 9B 9B 9C 9D | 156 155 158 158 157 155 155 156 157
  AE | 174 |      |     82 |       |      |       |       |     |        |         | 03 | 9C 9B 9E 9E 9D 9B 9B 9C 9D | 156 155 158 158 157 155 155 156 157
  AF | 175 |      |     82 |       |      |       |       |     |        |         | 03 | 9C 9B 9E 9E 9D 9B 9B 9C 9D | 156 155 158 158 157 155 155 156 157
  B0 | 176 |      |     82 |       |      |       |       |     |        |         | 03 | 9C 9B 9E 9E 9D 9B 9B 9C 9D | 156 155 158 158 157 155 155 156 157
  B1 | 177 |      |     82 |       |      |       |       |     |        |         | 03 | 9C 9B 9E 9E 9D 9B 9B 9C 9D | 156 155 158 158 157 155 155 156 157
  B2 | 178 |      |     82 |       |      |       |       |     |        |         | 03 | 9C 9B 9E 9E 9D 9B 9B 9C 9D | 156 155 158 158 157 155 155 156 157
  B3 | 179 |      |     82 |       |      |       |       |     |        |         | 03 | 9C 9B 9E 9E 9D 9B 9B 9C 9D | 156 155 158 158 157 155 155 156 157
  B4 | 180 |      |      0 | SOLID | PATH |       |       |     | OPAQUE |         | 05 | A5 9B 9F 9B A1 9B 9E 9B A6 | 165 155 159 155 161 155 158 155 166
  B5 | 181 |      |      0 | SOLID | PATH |       |       |     | OPAQUE |         | 05 | A5 9D A4 9B A1 9E A5 9D A6 | 165 157 164 155 161 158 165 157 166
  B6 | 182 |      |      0 | SOLID | PATH |       |       |     | OPAQUE |         | 05 | A5 9B 9B 9B A1 9B A4 9B A6 | 165 155 155 155 161 155 164 155 166
  B7 | 183 |      |      0 | SOLID | PATH |       |       |     | OPAQUE |         | 05 | A5 9B A3 9B A1 9B A5 9B A6 | 165 155 163 155 161 155 165 155 166
  B8 | 184 |      |      0 | SOLID | PATH |       |       |     | OPAQUE |         | 05 | 9C 9B 9B 9B 9C 9B 9C 9B 9C | 156 155 155 155 156 155 156 155 156
  B9 | 185 |      |      0 | SOLID | PATH |       |       |     | OPAQUE |         | 05 | 9D 9B 9C 9B 9C 9B 9D 9B 9C | 157 155 156 155 156 155 157 155 156
  BA | 186 |      |     87 |       |      |       |       |     |        |         | 03 | 9D 9C 9E 9E BA 9D 9C 9E 9C | 157 156 158 158 186 157 156 158 156
  BB | 187 |      |     82 |       |      |       |       |     |        |         | 03 | 34 9B 9E 9E 35 36 35 9C 9D |  52 155 158 158  53  54  53 156 157
  BC | 188 |      |     82 |       |      |       |       |     |        |         | 03 | 36 9B 9E 9E 35 34 9B 36 9D |  54 155 158 158  53  52 155  54 157
  BD | 189 |      |     82 |       |      |       |       |     |        |         | 03 | 9C 9B 35 9E 36 9B 35 9C 34 | 156 155  53 158  54 155  53 156  52
  BE | 190 |      |     82 |       |      |       |       |     |        |         | 03 | 9C 9B 9E 9E 9D 9B 9B 9C 9D | 156 155 158 158 157 155 155 156 157
  BF | 191 |      |     82 |       |      |       |       |     |        |         | 03 | 9C 9B 9E 9E 9D 9B 9B 9C 9D | 156 155 158 158 157 155 155 156 157
  C0 | 192 |      |     82 |       |      |       |       |     |        |         | 03 | 9C 9B 9E 9E 9D 9B 9B 9C 9D | 156 155 158 158 157 155 155 156 157
  C1 | 193 |      |     82 |       |      |       |       |     |        |         | 03 | 9C 9B 9E 9E 9D 9B 9B 9C 9D | 156 155 158 158 157 155 155 156 157
  C2 | 194 |      |     82 |       |      |       |       |     |        |         | 03 | 9C 9B 9E 9E 9D 9B 9B 9C 9D | 156 155 158 158 157 155 155 156 157
  C3 | 195 |      |     82 |       |      |       |       |     |        |         | 03 | 9C 9B 9E 9E 9D 9B 9B 9C 9D | 156 155 158 158 157 155 155 156 157
  C4 | 196 |      |     82 |       |      |       |       |     |        |         | 03 | 9C 9B 9E 9E 9D 9B 9B 9C 9D | 156 155 158 158 157 155 155 156 157
  C5 | 197 |      |     82 |       |      |       |       |     |        |         | 03 | 9C 9B 9E 9E 9D 9B 9B 9C 9D | 156 155 158 158 157 155 155 156 157
  C6 | 198 |      |     82 |       |      |       |       |     |        |         | 03 | 9C 9B 9E 9E 9D 9B 9B 9C 9D | 156 155 158 158 157 155 155 156 157
  C7 | 199 |      |     82 |       |      |       |       |     |        |         | 03 | 9C 9B 9E 9E 9D 9B 9B 9C 9D | 156 155 158 158 157 155 155 156 157
  C8 | 200 |      |     82 |       |      |       |       |     |        |         | 03 | 9C 9B 9E 9E 9D 9B 9B 9C 9D | 156 155 158 158 157 155 155 156 157
